,name,type_A,type_B,type_C,type_D,address,longitude,latitude
" 12731 Hwy 48   , Whitchurch-Stouffville, Ontario",Ultramar,115.6,130.9,132.9,117.9,"12731 ON-48, Whitchurch-Stouffville, ON L4A 7X3, Canada",-79.282378,43.9763464
" 1610 Keele St , Toronto - Central, Ontario",Shell,122.9,136.9,144.9,,"1610 Keele St, Toronto, ON M6M 3V9, Canada",-79.4720845,43.6823199
" 6897 Finch Ave W , Toronto - West, Ontario",Esso,121.9,132.9,142.9,118.9,"6897 Finch Ave W, Etobicoke, ON M9W 0A6, Canada",-79.6173637,43.7346325
"1 Harwood Ave S , Ajax, Ontario",Pioneer,112.9,,131.9,118.6,"1 Harwood Ave S, Ajax, ON L1S 2C1, Canada",-79.0251004,43.8610274
"1 Thornhill Woods Dr , Vaughan, Ontario",Esso,122.9,135.9,141.9,118.9,"1 Thornhill Woods Dr, Thornhill, ON L4J 8Y2, Canada",-79.46388639999999,43.8266602
"1 Westney Rd N , Ajax, Ontario",Petro-Canada,122.9,125.9,131.9,,"1 Westney Rd N, Ajax, ON L1T 1P4, Canada",-79.0412386,43.85815669999999
"10 Brisdale Dr , Brampton, Ontario",Fortinos,122.4,131.6,138.6,111.6,"10 Brisdale Dr, Brampton, ON L7A 2G8, Canada",-79.81231919999999,43.6830606
"10 Station St , Ajax, Ontario",Shell,122.9,,,,"10 Station St, Ajax, ON L1S 1R9, Canada",-79.0222625,43.85174
"1000 Rowntree Dairy Rd , Vaughan, Ontario",Petro-Canada,122.9,,,,"1000 Rowntree Dairy Rd, Woodbridge, ON L4L 5V8, Canada",-79.56811429999999,43.7841385
"1000 The Queensway , Toronto - West, Ontario",Esso,117.9,135.9,141.9,,"1000 The Queensway, Etobicoke, ON M8Z 1P6, Canada",-79.5153431,43.623835
"10010 McLaughlin Rd N , Brampton, Ontario",Esso,119.2,132.9,138.9,,"10010 McLaughlin Rd N, Brampton, ON L7A 2X6, Canada",-79.7984401,43.6958598
"10016 Bayview Ave , Richmond Hill, Ontario",Shell,122.9,135.9,144.9,,"10016 Bayview Ave, Richmond Hill, ON L4C 2K9, Canada",-79.4159277,43.8762496
"10021 McLaughlin Rd , Brampton, Ontario",Canadian Tire,118.5,125.9,137.9,118.1,"10021 McLaughlin Rd, Brampton, ON L7A 2X5, Canada",-79.797691,43.69680899999999
"1007 Upper Middle Rd E , Oakville, Ontario",Petro-Canada,122.6,135.9,141.9,,"1007 Upper Middle Rd E, Oakville, ON L6H 4L1, Canada",-79.6954899,43.4812102
"10115 Bramalea Rd , Brampton, Ontario",Petro-Canada,119.9,131.9,137.9,120.9,"10115 Bramalea Rd, Brampton, ON L6R 1W6, Canada",-79.7472607,43.7472528
"1015 Sheppard Ave E , Toronto - North, Ontario",Canadian Tire,122.9,,137.9,,"1015 Sheppard Ave E, Toronto, ON M2K, Canada",-79.3727557,43.7695501
"10178 Hurontario St , Brampton, Ontario",Shell,120.5,134.5,142.5,119.9,"10178 Hurontario St, Brampton, ON L7A 0E4, Canada",-79.7922961,43.7089456
"10187 Kennedy Rd N , Brampton, Ontario",Mac's,118.7,130.7,,,"10187 Kennedy Rd N, Brampton, ON L6Z 0C5, Canada",-79.7813803,43.7198657
"1020 Dundas St W , Oakville, Ontario",Petro-Canada,122.9,,,,"1020 Dundas St W, Oakville, ON L6H 6Z6, Canada",-79.7450882,43.4641068
"1021 Avenue Rd , Toronto - Central, Ontario",Petro-Canada,122.3,,,,"1021 Avenue Rd, Toronto, ON M4V, Canada",-79.40289469999999,43.69075900000001
"1030 Centre St , Vaughan, Ontario",Esso,,134.9,140.9,,"1030 Centre St, Vaughan, ON L4J 3M8, Canada",-79.4591038,43.8092677
"1039 Danforth Rd , Toronto - East, Ontario",Esso,121.9,134.9,140.9,124.9,"1039 Danforth Rd, Scarborough, ON M1K 1J8, Canada",-79.2474344,43.73455980000001
"10511 Bramalea Rd , Brampton, Ontario",Shell,119.9,130.9,144.9,118.9,"10511 Bramalea Rd, Brampton, ON L6r 3p4, Canada",-79.7574593,43.754753
"1052 Pape Ave , Toronto - Central, Ontario",Eagle,118.9,128.9,134.9,,"1052 Pape Ave, Toronto, ON M4K, Canada",-79.3493917,43.6902867
"10561 Heart Lake Rd , Brampton, Ontario",Petro-Canada,116.5,135.9,141.9,,"10561 Heart Lake Rd, Brampton, ON L6Z 0B6, Canada",-79.7798901,43.7361868
"10579 Yonge St , Richmond Hill, Ontario",Esso,122.9,128.9,134.9,,"10579 Yonge St, Richmond Hill, ON L4C 3C5, Canada",-79.4400301,43.8853601
"10601 Chinguacousy  Rd , Brampton, Ontario",Mac's,118.5,130.5,137.5,111.6,"10601 Chinguacousy Rd, Brampton, ON L7A 0N5, Canada",-79.8228307,43.6973528
"10606 Heart Lake Rd , Brampton, Ontario",Esso,116.5,132.9,138.9,,"10606 Heart Lake Rd, Brampton, ON L6Z 0B3, Canada",-79.7815809,43.7363266
"10700 Bathurst St , Vaughan, Ontario",Shell,119.9,128.9,136.9,121.9,"10700 Bathurst St, Maple, ON L6A 4B6, Canada",-79.4679216,43.8835997
"10749 Bathurst St , Richmond Hill, Ontario",Petro-Canada,119.9,,137.9,,"10749 Bathurst St, Richmond Hill, ON L4C 7V3, Canada",-79.4668154,43.8838769
"1075 Martin Grove Rd , Toronto - West, Ontario",Esso,122.9,,,,"1075 Martin Grove Rd, Etobicoke, ON M9W 4W6, Canada",-79.5750219,43.7016662
"10750 Jane St , Vaughan, Ontario",Esso,120.5,132.9,,,"10750 Jane St, Maple, ON L6A 1S1, Canada",-79.5416542,43.8679459
"1077 Yonge St , Toronto - Central, Ontario",Shell,122.9,134.9,,120.9,"1077 Yonge St, Toronto, ON M4W 2L5, Canada",-79.39023209999999,43.6793757
"1081 Rutherford Rd , Vaughan, Ontario",Petro-Canada,122.9,,,,"1081 Rutherford Rd, Thornhill, ON L4J 9C2, Canada",-79.4695694,43.8449377
"1095 Don Mills Rd , Toronto - Central, Ontario",Petro-Canada,122.9,,,,"770 Don Mills Rd, Toronto, ON L6H 4L2, Canada",-79.338713,43.716465
"1095 Lakeshore Rd W , Mississauga, Ontario",Pioneer,119.6,,,,"1095 Lakeshore Rd W, Mississauga, ON L5H 1J3, Canada",-79.6079063,43.5315792
"10980 Bramalea Rd , Brampton, Ontario",Mac's,122.6,129.6,136.6,114.6,"10980 Bramalea Rd, Brampton, ON L6R, Canada",-79.7701099,43.7635759
"110 Rexdale Blvd , Toronto - West, Ontario",Petro-Canada,122.9,,,,"110 Rexdale Blvd, Etobicoke, ON M9W 1P5, Canada",-79.56542569999999,43.712576
"1100 Kerr St , Oakville, Ontario",Canadian Tire,122.9,,,,"1100 Kerr St, Oakville, ON L6M 0L4, Canada",-79.6990077,43.4498099
"1110 Bathurst St , Toronto - Central, Ontario",Esso,113.9,126.9,132.9,,"1110 Bathurst St, Toronto, ON M5R 3H2, Canada",-79.41471059999999,43.673404
"11151 Yonge St , Richmond Hill, Ontario",Shell,122.9,,144.9,118.9,"11151 Yonge St, Richmond Hill, ON L4S 1L2, Canada",-79.4428939,43.8991366
"1121 Broadview Ave , Toronto - Central, Ontario",Ultramar,122.9,,,,"1121 Broadview Ave, East York, ON M4K 2S4, Canada",-79.355684,43.686882
"1121 Kingston Rd , Toronto - East, Ontario",Petro-Canada,118.9,131.9,137.9,,"1121 Kingston Rd, Scarborough, ON M1N, Canada",-79.2811863,43.6813265
"1123 Dorval Dr , Oakville, Ontario",Petro-Canada,122.9,,,,"1123 Dorval Dr, Oakville, ON L6M 3H9, Canada",-79.70438120000001,43.4497702
"1125 Sheppard Ave E , Toronto - North, Ontario",Amco,120.8,,,,"1125 Sheppard Ave E, North York, ON M2K, Canada",-79.37059889999999,43.7700037
"1138 Sheppard Ave W , Toronto - North, Ontario",Esso,122.9,,,118.9,"1138 Sheppard Ave W, North York, ON M3K 2A2, Canada",-79.467158,43.752349
"1144 Davis Dr , Newmarket, Ontario",Esso,,134.9,140.9,119.9,"1144 Davis Dr, Newmarket, ON L3Y 8X4, Canada",-79.42916509999999,44.0660046
"1149 Morningside Ave , Toronto - East, Ontario",Esso,118.9,135.9,141.9,118.9,"1149 Morningside Ave, Scarborough, ON M1B, Canada",-79.1992363,43.8017295
"115 Salem Rd S , Ajax, Ontario",Shell,113.9,126.9,132.9,119.9,"115 Salem Rd S, Ajax, ON L1Z 2C9, Canada",-79.0140562,43.8600473
"1150 Markham Rd , Toronto - East, Ontario",Esso,122.9,135.9,141.9,119.9,"1150 Markham Rd, Scarborough, ON M1H 2Y6, Canada",-79.23212459999999,43.7759949
"11600 Keele St , Vaughan, Ontario",Petro-Canada,120.5,133.9,139.9,,"11600 Keele St, Maple, ON L6A 1S1, Canada",-79.5215855,43.8920263
"1161 Kingston Rd , Toronto - East, Ontario",Top Valu,112.9,126.4,133.9,112.6,"1161 Kingston Rd, Scarborough, ON M1N 1P2, Canada",-79.2798504,43.6817365
"117 Jarvis St , Toronto - South, Ontario",Petro-Canada,122.9,135.9,141.9,,"117 Jarvis St, Toronto, ON M5C 2H6, Canada",-79.372186,43.6530198
"1175 Hurontario St , Mississauga, Ontario",Petro-Canada,122.9,,,,"1175 Hurontario St, Mississauga, ON L5G 3H1, Canada",-79.58621,43.5587972
"1175 Mulock Dr , Newmarket, Ontario",Esso,122.9,,,,"1175 Mulock Dr, Newmarket, ON L3Y 8E6, Canada",-79.4214642,44.0492401
"118 Orenda Rd , Brampton, Ontario",Econo,122.9,,,119.9,"118 Orenda Rd, Brampton, ON L6W 3W6, Canada",-79.7348611,43.6952281
"11865 Hurontario St , Brampton, Ontario",Santak Pump,115.9,123.9,133.9,116.9,"11865 Hurontario St, Brampton, ON L6Z 4P7, Canada",-79.823239,43.7329549
"1195 Danforth Ave , Toronto - Central, Ontario",Esso,114.9,127.0,136.0,,"1195 Danforth Ave, Toronto, ON M4J 1M7, Canada",-79.33189519999999,43.6813414
"1195 Davis Dr , Newmarket, Ontario",Petro-Canada,,129.9,135.9,121.9,"1195 Davis Dr, Newmarket, ON L3Y 8R1, Canada",-79.42686379999999,44.0673094
"11980 Hurontario St , Brampton, Ontario",Petro-Canada,116.5,130.9,,120.9,"11980 Hurontario St, Brampton, ON L7A 1E6, Canada",-79.82481159999999,43.7330718
"12 Orchard Dr , Brampton, Ontario",XTR,118.9,,140.9,,"12 Orchard Dr, Brampton, ON L6W 2V6, Canada",-79.72548859999999,43.67410030000001
"120 Thompson Rd S , Milton, Ontario",[email protected],,,,118.6,"120 Thompson Rd S, Milton, ON L9T 0J4, Canada",-79.86473389999999,43.5260293
"12001 Hwy 400 NB , Vaughan, Ontario",Canadian Tire,125.3,,,,"12001 ON-400 #1S1, King City, ON L7B 1A8, Canada",-79.5574951,43.8950319
"1201 Markham Rd , Toronto - East, Ontario",Shell,122.9,135.9,143.9,,"1201 Markham Rd, Scarborough, ON M1H 2Y8, Canada",-79.2313617,43.7769248
"12011 Hurontario St , Brampton, Ontario",Petro-Canada,116.5,,,125.9,"12011 Hurontario St, Brampton, ON L6Z 4P8, Canada",-79.8250511,43.7342665
"12016 Airport Rd , Caledon, Ontario",Shell,120.6,135.9,139.9,118.9,"12016 Airport Rd, Caledon, ON L7C 2W1, Canada",-79.7608869,43.79128559999999
"1202 Dundas St E , Mississauga, Ontario",Canadian Tire,122.9,,,,"1202 Dundas St E, Mississauga, ON L4Y 2C1, Canada",-79.588043,43.6048277
"1209 Dundas St W , Mississauga, Ontario",Shell,119.9,,,,"1209 Dundas St W, Mississauga, ON L5C 1C4, Canada",-79.64600370000001,43.5551799
"121 Kennedy Rd N , Brampton, Ontario",Petro-Canada,122.7,135.9,141.9,120.9,"121 Kennedy Rd N, Brampton, ON L6V 1X7, Canada",-79.7587865,43.7022149
